232,66
634,827
595,886
867,245
36,360
119,869
913,893
518,360
643,234
886,367
589,220
529,233
87,278
114,903
365,660
849,677
239,197
745,708
761,623
975,836
920,925
824,303
265,354
500,657
877,604
298,57
440,685
533,849
691,375
52,613
174,58
437,360
726,706
624,828
396,825
222,294
660,955
328,130
616,816
901,27
964,197
505,964
513,34
323,240
919,905
219,319
649,888
306,497
445,945
26,126
97,778
378,4
23,477
337,745
399,985
57,161
487,784
526,594
802,778
430,604
299,761
154,456
186,341
696,449
212,759
600,929
410,654
489,604
887,775
937,999
88,724
17,118
122,502
118,717
956,635
514,710
833,598
400,540
57,725
40,825
833,636
465,968
941,829
423,768
752,589
890,737
974,932
1,763
135,377
445,969
612,762
899,31
897,969
202,352
216,827
732,343
813,736
591,681
551,156
21,822
