94,880
386,538
751,884
375,246
286,64
255,597
448,980
758,251
260,872
598,89
706,57
988,262
479,988
440,26
355,535
393,37
910,808
753,90
532,151
677,941
679,323
399,839
38,62
696,111
834,100
779,96
857,726
355,359
287,332
972,432
69,315
73,846
60,673
802,437
485,641
151,443
351,562
560,641
346,610
353,547
802,55
109,786
326,51
220,50
557,763
681,416
913,326
928,124
377,358
997,602
950,556
2,413
103,229
232,995
750,388
828,292
237,321
974,278
761,237
705,845
257,879
550,542
141,594
116,309
568,803
10,56
30,543
25,831
657,594
601,412
488,873
248,512
111,411
809,19
272,259
376,881
641,601
879,518
687,826
304,145
147,153
293,739
703,20
149,772
173,943
842,461
421,147
221,241
804,290
768,383
773,99
773,67
151,311
980,381
987,772
431,552
135,787
465,358
9,440
589,29
158,781
834,721
522,851
542,796
620,31
436,800
651,162
815,315
957,239
551,336
741,897
965,708
32,721
984,479
829,999
116,80
268,530
812,644
550,703
624,663
838,95
103,930
266,402
557,367
648,609
214,764
142,875
146,861
557,896
633,893
737,284
939,910
505,243
431,823
449,87
177,350
766,747
76,354
789,618
819,733
563,35
745,885
58,394
719,359
655,840
298,778
441,366
697,173
314,813
771,178
947,208
623,725
330,96
553,324
868,462
174,208
272,671
466,582
673,784
653,404
279,213
554,140
300,827
71,209
67,188
752,544
856,309
743,314
672,260
541,24
623,622
801,507
692,618
323,885
84,952
353,32
438,723
545,40
427,236
502,401
444,90
491,174
594,459
72,78
271,170
326,886
480,707
699,478
361,83
131,617
353,147
852,809
15,936
666,106
875,565
526,385
213,742
70,653
395,405
526,162
85,497
997,429
332,316
765,426
342,790
500,696
522,27
500,757
857,445
553,834
400,38
225,609
897,92
240,718
747,995
768,117
209,206
518,136
535,807
240,32
282,147
938,605
77,551
637,997
627,937
864,167
310,937
286,731
842,44
544,492
516,656
814,92
558,241
849,870
231,247
10,366
113,669
626,510
377,186
751,615
936,624
367,867
898,832
172,377
174,196
373,627
295,455
376,503
61,843
623,322
511,61
277,498
895,151
368,550
532,929
634,257
239,564
826,165
948,769
918,734
156,577
441,853
448,210
445,670
885,989
868,991
904,873
92,212
306,96
223,783
247,647
16,938
996,353
187,202
836,885
23,502
438,890
189,445
367,178
609,928
170,467
283,207
697,31
245,315
273,898
308,288
115,232
194,579
613,701
572,751
700,973
973,685
695,758
613,96
431,808
612,716
